sample population group sex
HG00459_2 CHS CHS 1
HG00463_1 CHS CHS 1
HG00463_2 CHS CHS 1
HG00464_1 CHS CHS 1
HG00464_2 CHS CHS 1
HG00465_1 CHS CHS 1
HG00465_2 CHS CHS 1
HG00472_1 CHS CHS 1
HG00472_2 CHS CHS 1
HG00473_1 CHS CHS 1
HG00473_2 CHS CHS 1
HG00474_1 CHS CHS 1
HG00474_2 CHS CHS 1
HG00475_1 CHS CHS 1
HG00475_2 CHS CHS 1
HG00476_1 CHS CHS 1
HG00476_2 CHS CHS 1
HG00477_1 CHS CHS 1
HG00477_2 CHS CHS 1
HG00478_1 CHS CHS 1
HG00478_2 CHS CHS 1
HG00479_1 CHS CHS 1
HG00479_2 CHS CHS 1
HG00480_1 CHS CHS 1
HG00480_2 CHS CHS 1
HG00500_1 CHS CHS 1
HG00500_2 CHS CHS 1
HG00501_1 CHS CHS 1
HG00501_2 CHS CHS 1
HG00502_1 CHS CHS 1
HG00502_2 CHS CHS 1
HG00512_1 CHS CHS 1
HG00512_2 CHS CHS 1
HG00513_1 CHS CHS 1
HG00513_2 CHS CHS 1
HG00514_1 CHS CHS 1
HG00514_2 CHS CHS 1
HG00524_1 CHS CHS 1
HG00524_2 CHS CHS 1
HG00525_1 CHS CHS 1
HG00525_2 CHS CHS 1
HG00526_1 CHS CHS 1
HG00526_2 CHS CHS 1
HG00530_1 CHS CHS 1
HG00530_2 CHS CHS 1
HG00531_1 CHS CHS 1
HG00531_2 CHS CHS 1
HG00532_1 CHS CHS 1
HG00532_2 CHS CHS 1
HG00533_1 CHS CHS 1
HG00533_2 CHS CHS 1
HG00534_1 CHS CHS 1
HG00534_2 CHS CHS 1
HG00535_1 CHS CHS 1
HG00535_2 CHS CHS 1
HG00536_1 CHS CHS 1
HG00536_2 CHS CHS 1
HG00537_1 CHS CHS 1
HG00537_2 CHS CHS 1
HG00538_1 CHS CHS 1
HG00538_2 CHS CHS 1
HG00542_1 CHS CHS 1
HG00542_2 CHS CHS 1
HG00543_1 CHS CHS 1
HG00543_2 CHS CHS 1
HG00544_1 CHS CHS 1
HG00544_2 CHS CHS 1
HG00551_1 PUR PUR 1
HG00551_2 PUR PUR 1
HG00552_1 PUR PUR 1
HG00552_2 PUR PUR 1
HG00553_1 PUR PUR 1
HG00553_2 PUR PUR 1
HG00554_1 PUR PUR 1
HG00554_2 PUR PUR 1
HG00555_1 PUR PUR 1
HG00555_2 PUR PUR 1
HG00556_1 CHS CHS 1
HG00556_2 CHS CHS 1
HG00557_1 CHS CHS 1
HG00557_2 CHS CHS 1
HG00558_1 CHS CHS 1
HG00558_2 CHS CHS 1
HG00559_1 CHS CHS 1
HG00559_2 CHS CHS 1
HG00560_1 CHS CHS 1
HG00560_2 CHS CHS 1
HG00561_1 CHS CHS 1
HG00561_2 CHS CHS 1
HG00565_1 CHS CHS 1
HG00565_2 CHS CHS 1
HG00566_1 CHS CHS 1
HG00566_2 CHS CHS 1
HG00567_1 CHS CHS 1
HG00567_2 CHS CHS 1
HG00577_1 CHS CHS 1
HG00577_2 CHS CHS 1
HG00578_1 CHS CHS 1
HG00578_2 CHS CHS 1
HG00579_1 CHS CHS 1
HG00579_2 CHS CHS 1
HG00580_1 CHS CHS 1
HG00580_2 CHS CHS 1
HG00581_1 CHS CHS 1
HG00581_2 CHS CHS 1
HG00582_1 CHS CHS 1
HG00582_2 CHS CHS 1
HG00583_1 CHS CHS 1
HG00583_2 CHS CHS 1
HG00584_1 CHS CHS 1
HG00584_2 CHS CHS 1
HG00585_1 CHS CHS 1
HG00585_2 CHS CHS 1
HG00589_1 CHS CHS 1
HG00589_2 CHS CHS 1
HG00590_1 CHS CHS 1
HG00590_2 CHS CHS 1
HG00591_1 CHS CHS 1
HG00591_2 CHS CHS 1
HG00592_1 CHS CHS 1
HG00592_2 CHS CHS 1
HG00593_1 CHS CHS 1
HG00593_2 CHS CHS 1
HG00594_1 CHS CHS 1
HG00594_2 CHS CHS 1
HG00595_1 CHS CHS 1
HG00595_2 CHS CHS 1
HG00596_1 CHS CHS 1
HG00596_2 CHS CHS 1
HG00597_1 CHS CHS 1
HG00597_2 CHS CHS 1
HG00598_1 CHS CHS 1
HG00598_2 CHS CHS 1
HG00599_1 CHS CHS 1
HG00599_2 CHS CHS 1
HG00607_1 CHS CHS 1
HG00607_2 CHS CHS 1
HG00608_1 CHS CHS 1
HG00608_2 CHS CHS 1
HG00609_1 CHS CHS 1
HG00609_2 CHS CHS 1
HG00610_1 CHS CHS 1
HG00610_2 CHS CHS 1
HG00611_1 CHS CHS 1
HG00611_2 CHS CHS 1
HG00612_1 CHS CHS 1
HG00612_2 CHS CHS 1
HG00613_1 CHS CHS 1
HG00613_2 CHS CHS 1
HG00614_1 CHS CHS 1
HG00614_2 CHS CHS 1
HG00615_1 CHS CHS 1
HG00615_2 CHS CHS 1
HG00619_1 CHS CHS 1
HG00619_2 CHS CHS 1
HG00620_1 CHS CHS 1
HG00620_2 CHS CHS 1
HG00621_1 CHS CHS 1
HG00621_2 CHS CHS 1
HG00622_1 CHS CHS 1
HG00622_2 CHS CHS 1
HG00623_1 CHS CHS 1
HG00623_2 CHS CHS 1
HG00625_1 CHS CHS 1
HG00625_2 CHS CHS 1
HG00626_1 CHS CHS 1
HG00626_2 CHS CHS 1
HG00627_1 CHS CHS 1
HG00627_2 CHS CHS 1
HG00628_1 CHS CHS 1
HG00628_2 CHS CHS 1
HG00629_1 CHS CHS 1
HG00629_2 CHS CHS 1
HG00630_1 CHS CHS 1
HG00630_2 CHS CHS 1
HG00631_1 CHS CHS 1
HG00631_2 CHS CHS 1
HG00632_1 CHS CHS 1
HG00632_2 CHS CHS 1
HG00634_1 CHS CHS 1
HG00634_2 CHS CHS 1
HG00635_1 CHS CHS 1
HG00635_2 CHS CHS 1
HG00636_1 CHS CHS 1
HG00636_2 CHS CHS 1
HG00637_1 PUR PUR 1
HG00637_2 PUR PUR 1
HG00638_1 PUR PUR 1
HG00638_2 PUR PUR 1
HG00639_1 PUR PUR 1
HG00639_2 PUR PUR 1
HG00640_1 PUR PUR 1
HG00640_2 PUR PUR 1
HG00641_1 PUR PUR 1
HG00641_2 PUR PUR 1
HG00642_1 PUR PUR 1
HG00642_2 PUR PUR 1
HG00650_1 CHS CHS 1
HG00650_2 CHS CHS 1
HG00651_1 CHS CHS 1
HG00651_2 CHS CHS 1
HG00652_1 CHS CHS 1
HG00652_2 CHS CHS 1
HG00653_1 CHS CHS 1
HG00653_2 CHS CHS 1
HG00654_1 CHS CHS 1
HG00654_2 CHS CHS 1
HG00655_1 CHS CHS 1
HG00655_2 CHS CHS 1
HG00656_1 CHS CHS 1
HG00656_2 CHS CHS 1
HG00657_1 CHS CHS 1
HG00657_2 CHS CHS 1
HG00658_1 CHS CHS 1
HG00658_2 CHS CHS 1
HG00662_1 CHS CHS 1
HG00662_2 CHS CHS 1
HG00663_1 CHS CHS 1
HG00663_2 CHS CHS 1
HG00664_1 CHS CHS 1
HG00664_2 CHS CHS 1
HG00671_1 CHS CHS 1
HG00671_2 CHS CHS 1
HG00672_1 CHS CHS 1
HG00672_2 CHS CHS 1
HG00673_1 CHS CHS 1
HG00673_2 CHS CHS 1
HG00674_1 CHS CHS 1
HG00674_2 CHS CHS 1
HG00675_1 CHS CHS 1
HG00675_2 CHS CHS 1
HG00683_1 CHS CHS 1
HG00683_2 CHS CHS 1
HG00684_1 CHS CHS 1
HG00684_2 CHS CHS 1
HG00685_1 CHS CHS 1
HG00685_2 CHS CHS 1
HG00689_1 CHS CHS 1
HG00689_2 CHS CHS 1
HG00690_1 CHS CHS 1
HG00690_2 CHS CHS 1
HG00691_1 CHS CHS 1
HG00691_2 CHS CHS 1
HG00692_1 CHS CHS 1
HG00692_2 CHS CHS 1
HG00693_1 CHS CHS 1
HG00693_2 CHS CHS 1
HG00694_1 CHS CHS 1
HG00694_2 CHS CHS 1
HG00698_1 CHS CHS 1
HG00698_2 CHS CHS 1
HG00699_1 CHS CHS 1
HG00699_2 CHS CHS 1
HG00700_1 CHS CHS 1
HG00700_2 CHS CHS 1
HG00701_1 CHS CHS 1
HG00701_2 CHS CHS 1
HG00702_1 CHS CHS 1
HG00702_2 CHS CHS 1
HG00703_1 CHS CHS 1
HG00703_2 CHS CHS 1
HG00704_1 CHS CHS 1
HG00704_2 CHS CHS 1
HG00705_1 CHS CHS 1
HG00705_2 CHS CHS 1
HG00706_1 CHS CHS 1
HG00706_2 CHS CHS 1
HG00707_1 CHS CHS 1
HG00707_2 CHS CHS 1
HG00708_1 CHS CHS 1
HG00708_2 CHS CHS 1
HG00709_1 CHS CHS 1
HG00709_2 CHS CHS 1
HG00717_1 CHS CHS 1
HG00717_2 CHS CHS 1
HG00728_1 CHS CHS 1
HG00728_2 CHS CHS 1
HG00729_1 CHS CHS 1
HG00729_2 CHS CHS 1
HG00731_1 PUR PUR 1
HG00731_2 PUR PUR 1
HG00732_1 PUR PUR 1
HG00732_2 PUR PUR 1
HG00733_1 PUR PUR 1
HG00733_2 PUR PUR 1
HG00734_1 PUR PUR 1
HG00734_2 PUR PUR 1
HG00735_1 PUR PUR 1
HG00735_2 PUR PUR 1
HG00736_1 PUR PUR 1
HG00736_2 PUR PUR 1
HG00737_1 PUR PUR 1
HG00737_2 PUR PUR 1
HG00738_1 PUR PUR 1
HG00738_2 PUR PUR 1
HG00739_1 PUR PUR 1
HG00739_2 PUR PUR 1
HG00740_1 PUR PUR 1
HG00740_2 PUR PUR 1
HG00741_1 PUR PUR 1
HG00741_2 PUR PUR 1
HG00742_1 PUR PUR 1
HG00742_2 PUR PUR 1
HG00743_1 PUR PUR 1
HG00743_2 PUR PUR 1
